2020-12-13 16:17:00,281 : INFO : Video Imported: C:\Users\Mahe\Documents\important\college\internships\genzellab\projects\hm_tracking\vids\stitched.mp4
2020-12-13 16:17:36,780 : INFO : Recording Trial 1
2020-12-13 16:18:04,099 : INFO : The rat position is: (367, 247) @ 323
2020-12-13 16:18:04,218 : INFO : The rat position is: (369, 245) @ 323
2020-12-13 16:18:04,330 : INFO : The rat position is: (373, 238) @ 323
2020-12-13 16:18:04,443 : INFO : The rat position is: (374, 232) @ 323
2020-12-13 16:18:04,574 : INFO : The rat position is: (386, 212) @ 322
2020-12-13 16:18:04,715 : INFO : The rat position is: (387, 209) @ 322
2020-12-13 16:18:04,836 : INFO : The rat position is: (387, 206) @ 322
2020-12-13 16:18:04,957 : INFO : The rat position is: (385, 203) @ 322
2020-12-13 16:18:05,078 : INFO : The rat position is: (376, 185) @ 322
2020-12-13 16:18:05,199 : INFO : The rat position is: (368, 165) @ 321
2020-12-13 16:18:05,330 : INFO : The rat position is: (365, 158) @ 321
2020-12-13 16:18:05,573 : INFO : The rat position is: (378, 141) @ 321
2020-12-13 16:18:05,733 : INFO : The rat position is: (391, 125) @ 320
2020-12-13 16:18:05,875 : INFO : The rat position is: (396, 119) @ 320
2020-12-13 16:18:05,993 : INFO : The rat position is: (404, 119) @ 320
2020-12-13 16:18:06,112 : INFO : The rat position is: (412, 115) @ 320
2020-12-13 16:18:06,246 : INFO : The rat position is: (427, 117) @ 320
2020-12-13 16:18:06,387 : INFO : The rat position is: (435, 118) @ 314
2020-12-13 16:18:06,498 : INFO : The rat position is: (436, 117) @ 314
2020-12-13 16:18:06,609 : INFO : The rat position is: (445, 114) @ 314
2020-12-13 16:18:06,721 : INFO : The rat position is: (457, 107) @ 314
2020-12-13 16:18:06,842 : INFO : The rat position is: (455, 105) @ 314
2020-12-13 16:18:06,963 : INFO : The rat position is: (462, 94) @ 314
2020-12-13 16:18:07,094 : INFO : The rat position is: (467, 83) @ 313
2020-12-13 16:18:07,215 : INFO : The rat position is: (474, 74) @ 313
2020-12-13 16:18:07,347 : INFO : The rat position is: (477, 71) @ 313
2020-12-13 16:18:07,468 : INFO : The rat position is: (482, 72) @ 313
2020-12-13 16:18:07,580 : INFO : The rat position is: (489, 72) @ 313
2020-12-13 16:18:07,711 : INFO : The rat position is: (496, 72) @ 313
2020-12-13 16:18:07,857 : INFO : The rat position is: (510, 70) @ 306
2020-12-13 16:18:07,971 : INFO : The rat position is: (516, 72) @ 306
2020-12-13 16:18:08,107 : INFO : The rat position is: (524, 74) @ 306
2020-12-13 16:18:08,215 : INFO : The rat position is: (530, 81) @ 306
2020-12-13 16:18:08,374 : INFO : The rat position is: (536, 91) @ 306
2020-12-13 16:18:08,497 : INFO : The rat position is: (539, 95) @ 306
2020-12-13 16:18:08,626 : INFO : The rat position is: (541, 99) @ 306
2020-12-13 16:18:08,737 : INFO : The rat position is: (546, 112) @ 307
2020-12-13 16:18:08,850 : INFO : The rat position is: (547, 113) @ 307
2020-12-13 16:18:08,980 : INFO : The rat position is: (548, 115) @ 307
2020-12-13 16:18:09,100 : INFO : The rat position is: (545, 111) @ 307
2020-12-13 16:18:09,211 : INFO : The rat position is: (548, 113) @ 307
2020-12-13 16:18:09,325 : INFO : The rat position is: (547, 113) @ 307
2020-12-13 16:18:09,456 : INFO : The rat position is: (552, 117) @ 307
2020-12-13 16:18:09,570 : INFO : The rat position is: (546, 117) @ 307
2020-12-13 16:18:09,687 : INFO : The rat position is: (545, 119) @ 307
2020-12-13 16:18:09,809 : INFO : The rat position is: (544, 121) @ 307
2020-12-13 16:18:09,938 : INFO : The rat position is: (545, 130) @ 307
2020-12-13 16:18:10,049 : INFO : The rat position is: (545, 135) @ 307
2020-12-13 16:18:10,152 : INFO : The rat position is: (537, 144) @ 308
2020-12-13 16:18:10,283 : INFO : The rat position is: (537, 145) @ 308
2020-12-13 16:18:10,402 : INFO : The rat position is: (540, 145) @ 308
2020-12-13 16:18:10,526 : INFO : The rat position is: (541, 144) @ 308
2020-12-13 16:18:10,648 : INFO : The rat position is: (541, 145) @ 308
2020-12-13 16:18:10,769 : INFO : The rat position is: (541, 145) @ 308
2020-12-13 16:18:10,898 : INFO : The rat position is: (541, 145) @ 308
2020-12-13 16:18:11,019 : INFO : The rat position is: (540, 146) @ 308
2020-12-13 16:18:11,163 : INFO : The rat position is: (538, 148) @ 308
2020-12-13 16:18:11,294 : INFO : The rat position is: (538, 144) @ 308
2020-12-13 16:18:11,426 : INFO : The rat position is: (538, 143) @ 308
2020-12-13 16:18:11,555 : INFO : The rat position is: (537, 145) @ 308
2020-12-13 16:18:11,688 : INFO : The rat position is: (536, 146) @ 308
2020-12-13 16:18:11,799 : INFO : The rat position is: (536, 146) @ 308
2020-12-13 16:18:11,931 : INFO : The rat position is: (536, 146) @ 308
2020-12-13 16:18:12,074 : INFO : The rat position is: (535, 148) @ 308
2020-12-13 16:18:12,194 : INFO : The rat position is: (534, 150) @ 308
2020-12-13 16:18:12,315 : INFO : The rat position is: (530, 155) @ 308
2020-12-13 16:18:12,446 : INFO : The rat position is: (531, 157) @ 308
2020-12-13 16:18:12,597 : INFO : The rat position is: (531, 157) @ 308
2020-12-13 16:18:12,728 : INFO : The rat position is: (528, 157) @ 308
2020-12-13 16:18:12,839 : INFO : The rat position is: (526, 162) @ 308
2020-12-13 16:18:12,971 : INFO : The rat position is: (518, 162) @ 308
2020-12-13 16:18:13,100 : INFO : The rat position is: (504, 163) @ 308
2020-12-13 16:18:13,221 : INFO : The rat position is: (506, 163) @ 308
2020-12-13 16:18:13,334 : INFO : The rat position is: (479, 163) @ 315
2020-12-13 16:18:13,456 : INFO : The rat position is: (481, 160) @ 315
